,Custid,Dayswus,Educ,Income,Freq,Monetary,LTV,Perdeal,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic,WebPurchase,Access,ChildHome,Educx
0,0.0,0.3414285714285715,0.5,0.622693286055654,0.5283018867924528,0.5597433841218926,0.52389486260454,0.030927835051546393,0.36734693877551017,0.09803921568627451,0.6825396825396826,0.2857142857142857,0.06,0.020833333333333332,0.17857142857142855,0.3333333333333333,False,Higher Education
1,0.00010002000400079203,0.10428571428571431,1.0,0.794133970554228,0.5660377358490566,0.6138732959101845,0.4438470728793309,0.010309278350515464,0.5510204081632653,0.0196078431372549,0.5873015873015872,0.11428571428571428,0.04,0.020833333333333332,0.05952380952380952,0.0,False,Higher Education
2,0.00020004000800159794,0.04714285714285715,0.75,0.14140137208047482,0.05660377358490566,0.015236567762630313,0.1045400238948626,0.6804123711340206,0.31632653061224486,0.37254901960784315,0.36507936507936506,0.02857142857142857,0.48,0.65625,0.6547619047619047,0.3333333333333333,True,Higher Education
3,0.00030006001200238996,0.4900000000000001,0.875,0.6441917829337855,0.3773584905660377,0.3536487570168404,0.2299880525686977,0.12371134020618557,0.6020408163265305,0.19607843137254902,0.2857142857142857,0.17142857142857143,0.1,0.15625,0.369047619047619,0.0,True,Higher Education
4,0.00040008001600319587,0.7314285714285714,0.75,0.6309411855391968,0.4528301886792453,0.4538893344025661,0.3183990442054958,0.05154639175257732,0.5918367346938775,0.09803921568627451,0.42857142857142855,0.11428571428571428,0.08,0.19791666666666666,0.35714285714285715,0.0,True,Higher Education
5,0.0005001000200039879,0.34571428571428575,1.0,0.095475217759963,0.07547169811320754,0.020048115477145148,0.09557945041816009,0.9896907216494846,0.4693877551020408,0.0392156862745098,0.746031746031746,0.05714285714285714,0.02,0.3020833333333333,0.75,0.3333333333333333,True,Higher Education
6,0.0006001200240047938,0.8142857142857144,0.625,0.45852925306405606,0.18867924528301885,0.13592622293504408,0.07945041816009557,0.6288659793814433,0.7142857142857142,0.13725490196078433,0.19047619047619047,0.02857142857142857,0.16,0.03125,0.49999999999999994,0.0,True,Higher Education
7,0.0007001400280055997,0.15428571428571425,0.75,0.4517228089108148,0.018867924528301886,0.014033680834001604,0.1117084826762246,0.15463917525773196,0.846938775510204,0.0196078431372549,0.1746031746031746,0.05714285714285714,0.0,0.03125,0.39285714285714285,0.0,True,Higher Education
8,0.0008001600320063917,0.34571428571428575,0.75,0.7669698604794573,0.5283018867924528,0.5593424218123497,0.472520908004779,0.030927835051546393,0.37755102040816324,0.1764705882352941,0.5396825396825398,0.2571428571428571,0.18,0.09375,0.15476190476190477,0.3333333333333333,False,Higher Education
10,0.0010002000400079897,0.16285714285714292,0.875,0.6744160949664687,0.33962264150943394,0.3079390537289495,0.3022700119474313,0.020618556701030927,0.36734693877551017,0.3137254901960784,0.5079365079365079,0.2571428571428571,0.1,0.03125,0.13095238095238093,0.0,False,Higher Education
11,0.0011002200440087956,0.3828571428571429,0.5,0.5044014491636475,0.24528301886792453,0.19446672012830796,0.19534050179211468,0.10309278350515463,0.6020408163265305,0.0784313725490196,0.5079365079365079,0.05714285714285714,0.02,0.020833333333333332,0.2976190476190476,0.0,True,Higher Education
12,0.0012002400480096015,0.1528571428571429,0.375,0.6597240422415785,0.5283018867924528,0.5617481956696071,0.46654719235364395,0.010309278350515464,0.26530612244897955,0.058823529411764705,0.6031746031746033,0.5714285714285714,0.22,0.35416666666666663,0.22619047619047616,0.3333333333333333,False,Higher Education
13,0.0013002600520103935,0.09857142857142853,0.75,0.36997610421644955,0.07547169811320754,0.030072173215717722,0.09976105137395459,0.711340206185567,0.7755102040816326,0.0,0.31746031746031744,0.02857142857142857,0.0,0.125,0.5714285714285714,0.0,True,Higher Education
