Custid,Dayswus,Age,Educ,Income,Kidhome,Teenhome,Freq,Recency,Monetary,LTV,Perdeal,Dryred,Sweetred,Drywh,Sweetwh,Dessert,Exotic,WebPurchase,WebVisit,Access
1001,789,68,16,90782,0,0,29,66,1402,699,3,37,5,44,10,3,2,19,4,1
1002,623,78,20,113023,0,0,31,6,1537,565,1,55,1,38,4,2,2,9,1,0
1003,583,24,18,28344,1,0,4,69,44,-3,66,32,19,24,1,24,63,59,7,1
1004,893,59,19,93571,0,1,21,10,888,207,12,60,10,19,6,5,15,35,5,0
1005,1062,59,18,91852,0,1,25,26,1138,355,5,59,5,28,4,4,19,34,6,0
1006,792,32,20,22386,1,1,5,65,56,-18,96,47,2,48,2,1,29,67,9,1
1007,1120,45,17,69485,1,1,11,73,345,-45,61,71,7,13,1,8,3,46,7,0
1008,658,54,18,68602,0,1,2,44,41,9,15,84,1,12,2,0,3,37,3,0
1009,792,74,18,109499,0,0,29,75,1401,613,3,38,9,35,9,9,9,17,1,1
1010,1109,20,14,23846,1,0,1,153,19,-1,55,18,55,17,10,1,6,39,7,0
1011,664,65,19,97492,0,0,19,93,774,328,2,37,16,33,9,5,3,15,1,0
1012,818,57,16,75436,0,1,14,32,491,149,10,60,4,33,2,1,2,29,3,0
1013,657,60,15,95586,0,0,29,54,1407,603,1,27,3,39,20,11,34,23,3,1
1014,619,35,18,57997,1,1,5,28,81,-11,69,77,0,21,1,0,12,52,5,0
1015,1133,32,20,50289,1,0,1,231,20,2,31,46,0,33,16,5,25,70,9,0
1016,655,23,17,37029,1,0,2,30,32,-1,62,16,22,46,0,16,22,58,6,0
1017,624,22,16,20043,0,0,2,37,16,0,48,6,28,35,28,3,31,51,3,0
1018,940,76,15,112765,0,0,39,72,2039,873,2,19,1,35,14,31,8,23,5,0
1019,788,24,18,26141,0,0,2,52,36,3,31,19,17,28,23,12,44,50,6,0
1020,589,26,15,40944,1,0,4,67,52,1,45,30,12,46,9,3,12,60,6,0
1021,778,67,14,89755,0,0,12,44,394,146,4,12,4,14,34,36,2,15,1,0
1022,1108,19,13,43392,0,0,5,4,118,20,16,5,29,16,12,38,80,57,7,0
1023,683,32,17,50518,1,0,4,42,52,-9,79,22,11,51,9,7,28,57,5,0
1024,1178,33,19,41238,1,0,10,59,304,12,42,67,4,23,3,4,41,60,8,1
1025,680,68,15,104758,0,0,32,14,1595,666,1,35,5,39,10,11,6,12,1,1
1026,824,56,15,90390,0,0,22,52,959,282,6,39,10,42,3,6,4,27,4,0
1027,1048,43,19,59583,1,1,3,99,65,-6,59,70,1,26,0,3,15,66,7,0
1028,558,36,16,53489,0,1,2,12,32,-3,62,65,4,19,5,7,27,41,4,1
1029,697,38,16,33634,1,1,4,17,41,-14,89,63,3,18,9,7,10,51,6,0
1030,614,53,15,90708,0,0,19,61,767,226,2,76,3,15,4,3,7,52,6,0
1031,838,28,19,30957,1,0,1,156,19,-2,61,77,2,17,0,4,21,64,8,0
1032,652,37,16,52474,1,1,1,421,19,-5,74,82,2,15,1,1,32,55,6,1
1033,903,74,15,119982,0,0,36,52,1852,570,1,20,3,48,15,14,7,13,1,1
1034,657,32,15,54327,1,0,4,21,47,-2,54,20,14,39,16,11,9,62,4,0
1035,950,41,18,66220,1,1,9,70,257,-38,63,77,0,21,1,1,14,47,7,1
1036,854,41,18,65852,1,1,3,55,63,3,45,64,1,31,2,2,6,57,7,0
1037,1127,47,16,69713,0,1,28,64,1340,311,13,81,1,8,4,5,4,61,9,0
1038,554,59,20,87449,0,1,13,87,445,123,6,53,2,37,4,3,2,38,3,0
1039,1226,38,14,47584,1,1,7,94,180,-48,93,41,2,50,5,1,18,53,8,0
1040,661,78,14,109767,0,0,39,30,2040,748,1,46,7,37,6,4,9,14,2,2
1041,875,18,12,36143,1,0,6,65,150,14,33,6,28,27,17,22,10,60,8,0
1042,902,35,16,49108,1,1,3,80,30,-11,91,57,9,24,0,10,38,48,5,0
1043,656,18,12,12808,1,0,3,93,25,-4,80,6,26,15,19,33,15,62,6,0
1044,1034,56,17,85333,0,1,23,13,1019,378,13,55,7,27,9,2,3,25,4,0
1045,1208,19,13,33176,1,0,2,52,40,-3,65,4,12,27,57,0,92,43,6,1
1046,622,55,17,93132,0,0,27,81,1277,368,2,53,13,23,9,2,31,20,2,2
1047,1083,23,16,47016,1,0,17,81,644,45,37,30,13,45,6,7,20,60,9,0
1048,745,59,20,90841,0,1,16,56,601,252,12,62,1,32,1,3,10,41,5,0
1049,927,35,15,45434,1,1,4,14,90,-4,56,52,2,36,3,7,11,59,8,0
1050,672,60,18,86313,0,0,23,31,1018,311,2,39,7,38,4,11,2,25,3,0
1051,972,35,18,36908,0,1,2,47,25,2,42,84,1,13,1,1,2,41,4,0
1052,599,28,17,42773,1,0,5,2,84,12,30,71,0,27,1,1,43,52,6,1
1053,558,74,14,113980,0,0,36,73,1854,937,1,34,14,33,18,1,29,17,2,0
1054,668,50,17,80555,0,1,10,41,298,71,18,75,2,17,2,3,12,54,5,0
1055,905,49,15,72287,0,0,18,53,719,291,4,40,11,20,6,22,6,44,6,0
1056,989,19,13,25634,1,0,4,25,46,-6,83,9,30,26,2,33,28,71,9,0
1057,1240,28,16,52879,1,0,9,36,263,22,33,53,5,30,6,5,14,73,9,0
1058,857,28,15,58656,1,0,5,99,122,17,31,12,7,50,19,12,33,55,6,0
1059,956,46,17,64259,0,1,14,69,493,103,30,88,0,10,1,1,15,34,5,0
1060,1055,64,14,85140,0,0,21,28,899,366,2,40,4,35,8,13,10,32,4,0
1061,608,68,20,96070,0,0,27,6,1280,568,1,41,2,49,4,4,1,17,2,0
1062,826,30,18,18759,1,0,2,14,31,-3,61,48,4,36,8,4,63,55,8,0
1063,1140,21,15,35696,1,0,6,19,153,-14,66,9,44,33,12,2,11,67,9,0
1064,999,61,14,87438,0,1,20,30,830,60,44,35,6,15,21,23,6,30,5,0
1065,1084,31,14,43155,1,0,10,4,299,-2,51,60,0,27,8,5,4,60,8,0
1066,737,74,17,101058,0,0,32,33,1605,859,2,47,10,39,3,2,3,21,3,0
1067,1216,36,16,52447,1,1,7,83,187,-28,75,74,3,17,2,5,45,64,8,1
1068,571,46,15,78722,1,1,7,90,184,-20,65,95,1,3,1,0,14,59,7,1
1069,1217,27,19,38151,1,0,4,47,71,-5,64,45,7,46,1,1,8,60,8,0
1070,1051,60,18,91907,0,0,31,45,1537,785,1,57,7,18,7,11,27,14,2,0
1071,1199,57,19,71922,0,1,19,38,767,102,28,61,12,14,12,0,14,54,8,0
1072,772,22,14,38407,1,0,3,6,49,0,50,13,26,23,16,22,70,69,8,0
1073,771,40,20,53415,1,1,2,49,35,-10,81,72,1,23,1,3,3,65,7,0
